FID,Name,Lat,Lon,Zone,Surf_Spot,Wannasurf_,Wannasurf1,Quality,Frequency,Direction,Type,Experience,Surfline_n,Quality__0,Frequency_,Wannasur_1,Wannasur_2,Surfline_l,Surfline_1,Manually_a,Manually_1,SUM_10km,SUM_1km,sqtd_10km,sqtd_1km
433, ,0.000000000000000,0.000000000000000,Esperito Santo,Barra Sol,-20.384262000000000,-40.310088000000000,3.500000000000000,2,Right and left,Sand-bar,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,26426.329364799999894,0.000000000000000,16424.285961199999292,0.000000000000000
434, ,0.000000000000000,0.000000000000000,Esperito Santo,Secret,-20.379057000000000,-40.307132000000003,3.000000000000000,2,Right and left,Sand-bar,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,30342.915372799998295,0.000000000000000,18859.678285599999072,0.000000000000000
435, ,0.000000000000000,0.000000000000000,Esperito Santo,Coral do Céu,-20.378699999999998,-40.286881000000001,3.500000000000000,2,Left,Reef-rocky,Pros or kamikaze only..., ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,26330.999496500000532,0.000000000000000,16365.836547900000369,0.000000000000000
436, ,0.000000000000000,0.000000000000000,Esperito Santo,Pompeia,-20.356919000000001,-40.289633000000002,3.500000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,49153.740535700002511,0.000000000000000,30569.044685400000162,0.000000000000000
437, ,0.000000000000000,0.000000000000000,Esperito Santo,D2,-20.348965000000000,-40.270665000000001,3.500000000000000,3,Right,Reef-rocky,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,48607.524562799997511,0.000000000000000,29906.617893200000253,0.000000000000000
438, ,0.000000000000000,0.000000000000000,Esperito Santo,Canal de Vitória,-20.317523999999999,-40.288539000000000,3.000000000000000,1,Left,Sand-bar,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,546191.815870000049472,0.000000000000000,333414.939156999986153,0.000000000000000
439, ,0.000000000000000,0.000000000000000,Esperito Santo,Praia de Camburi,-20.275804000000001,-40.270986999999998,3.000000000000000,1,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,621289.916241000057198,0.000000000000000,380934.313618000014685,0.000000000000000
440, ,0.000000000000000,0.000000000000000,Esperito Santo,Prainha de Carapebus,-20.236550000000001,-40.215024999999997,3.500000000000000,2,Right,Point-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,117883.954448999997112,0.000000000000000,72652.621048000000883,0.000000000000000
441, ,0.000000000000000,0.000000000000000,Esperito Santo,Barrote-Jacaraipe,-20.151101000000001,-40.183461000000001,3.000000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
442, ,0.000000000000000,0.000000000000000,Esperito Santo,Jacaraípe- Solemar,-20.135649999999998,-40.180627999999999,3.000000000000000,3,Right and left,Sand-bar,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,275.664451599000017,0.000000000000000,175.348243712999988,0.000000000000000
443, ,0.000000000000000,0.000000000000000,Esperito Santo,Regencia,-19.659238999999999,-39.841576000000003,3.500000000000000,4,Right and left,Beach-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
444, ,0.000000000000000,0.000000000000000,Esperito Santo,Guriri,-18.739377999999999,-39.746389000000001,3.000000000000000,2,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,1647.981374740000092,0.000000000000000,1188.471403120000105,0.000000000000000
445, ,0.000000000000000,0.000000000000000,Bahia Sul,Backdoor,-14.840603000000000,-39.001465000000003,3.500000000000000,2,Right,Point-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,323090.724877999979071,0.000000000000000,194461.201750000007451,0.000000000000000
